Start Date,End Date,Joy Count,Joy Words,Sadness Count,Sadness Words,Anger Count,Anger Words,Fear Count,Fear Words,Trust Count,Trust Words,Disgust Count,Disgust Words,Surprise Count,Surprise Words,Anticipation Count,Anticipation Words,Sentiment Score,Sentiment Label
sunday july 11 1943,tuesday july 13 1943,11,"shopping, child, helpful, friendly, mother, deal, glad, remarkable, approve, kind, humorous",5,"difficulties, unable, unfair, impossible, gray",3,"unfair, anger, mule",2,"hiding, hearing",11,"shopping, mule, mother, helpful, friendly, deal, important, remarkable, weigh, approve, kind",3,"sour, unfair, gray",3,"remarkable, deal, shopping",12,"ready, immediately, thought, shopping, child, friendly, time, mother, deal, glad, weigh, long",21,Highly Positive
tuesday july 13 1943,friday july 16 1943,7,"smile, good, finally, deal, food, triumph, kind",7,"refused, ill, upset, sullen, mug, hell, pointless",11,"rage, ill, smack, upset, sullen, words, wrath, mug, contradict, hell, intruder",6,"ill, wrath, mug, hell, intruder, change",14,"agreed, fairly, elder, advice, smile, frank, good, finally, deal, doctor, father, food, prepared, kind",4,"finally, ugly, ill, hell",5,"smile, good, finally, deal, intruder",10,"wait, thought, good, finally, time, deal, opportunity, triumph, long, prepared",3,Positive
friday july 16 1943,friday july 23 1943,5,"excitement, cash, deal, glad, luck",4,"unsuccessful, dull, quiet, shiver",5,"indignant, shiver, cash, gang, destruction",6,"burglar, forced, stealing, shiver, cash, gang",3,"deal, cash, usual",3,"stealing, bombed, burglar",3,"luck, excitement, deal",11,"excitement, approaching, attempt, letter, immediately, shiver, time, cash, deal, glad, luck",1,Positive
friday july 23 1943,monday july 26 1943,4,"mother, overjoyed, freely, fun",5,"worthless, dying, lie, fat, gray",5,"spite, worthless, words, dying, lie",4,"homework, hiding, lines, dying",7,"school, mother, freely, father, bargain, real, advised",5,"worthless, dying, lie, fat, gray",0,,3,"mother, long, fun",-5,Negative
monday july 26 1943,thursday july 29 1943,10,"excitement, hope, rising, wonderful, good, finally, joy, food, peace, kind",7,"shot, falling, resigned, stroke, awful, fell, wound",8,"shot, tumultuous, awful, hit, wound, raid, stolen, smell",18,"siren, shot, suspense, escape, alarm, fire, flying, shaking, tumultuous, stroke, dangerous, watch, wound, raid, awful, government, warning, war",10,"harbor, hope, wonderful, father, good, finally, assure, food, peace, kind",4,"finally, bombed, smell, awful",9,"suspense, shot, excitement, hope, wonderful, good, finally, raid, alarm",14,"suspense, excitement, hope, escape, airport, rising, coming, thought, good, finally, time, watch, peace, long",-3,Negative
thursday july 29 1943,tuesday august 3 1943,8,"young, love, excellent, good, friendly, mother, enjoy, fun",6,"older, fall, unimportant, unable, quiet, bad",6,"disagree, rage, despicable, words, tirade, bad",4,"bad, avoid, prejudiced, difficult",7,"recommend, excellent, good, friendly, mother, theory, enjoy",7,"despicable, boy, egotistical, prejudiced, ugly, tirade, bad",3,"good, young, catch",10,"young, thought, good, friendly, mother, theory, long, enjoy, hurry, fun",2,Positive
tuesday august 3 1943,thursday august 5 1943,8,"white, perfect, safe, beautiful, deal, food, birthday, fun",13,"dark, lower, fall, ill, strip, bomb, worse, black, remove, quiet, fell, broken, case",15,"angry, shooting, politics, ill, suspicious, fighting, hot, fight, ridiculous, bomb, spat, remove, raid, broken, shrill",17,"shooting, ill, cowardly, alarm, broken, fight, bomb, worse, remove, shaking, courageous, raid, gasping, hiding, war, shrill, case",15,"harbor, dare, divan, continue, white, perfect, safe, father, larger, majesty, deal, grit, food, calls, real",7,"angry, ill, ridiculous, larger, indecent, flea, unsightly",9,"exclaim, bomb, larger, deal, birthday, raid, alarm, shrill, occasional",14,"dare, clock, fun, suspicious, white, perfect, calls, time, deal, opportunity, start, long, birthday, continue",-15,Highly Negative
thursday august 5 1943,saturday august 7 1943,6,"companion, excellent, mother, food, glee, peace",3,"late, quiet, missing",1,gang,4,"gang, homework, missing, shady",8,"companion, divan, excellent, father, mother, food, constant, peace",0,,1,break,5,"clock, mother, time, peace, long",11,Highly Positive
monday august 9 1943,tuesday august 10 1943,12,"share, young, cheerful, kind, nap, smile, mother, good, favorite, food, goodness, fun",8,"concerned, interrupted, interested, black, guilty, quiet, case, bad",4,"hiss, guilty, fight, bad",6,"concerned, fight, hiss, watch, case, bad",16,"share, advice, goodness, kind, smile, frank, modest, mother, good, favorite, word, father, food, calls, suggest, continue",2,"bad, interested",5,"young, cheerful, smile, good, goodness",10,"share, young, fun, calls, mother, good, watch, goodness, long, continue",18,Highly Positive
tuesday august 10 1943,monday august 23 1943,15,"comfort, accomplished, pleased, white, freedom, sweetheart, achieve, good, beautiful, mother, art, heavenly, favorite, glad, luck",18,"danger, bottom, unlucky, ill, lost, doubt, bomb, sweetheart, worse, hurt, crying, leave, quiet, art, blunder, impossible, case, bad",9,"angry, invasion, unlucky, ill, bomb, fight, hurt, tirade, bad",16,"danger, unlucky, ill, doubt, bomb, fight, tactics, worse, hurt, escaped, bait, change, war, case, avoid, bad",19,"agreement, good, favorite, continue, frank, sweetheart, heavenly, calls, white, freedom, bait, father, comfort, cabinet, doubt, achieve, mother, top, tactics",8,"angry, dirty, unlucky, ill, gutter, tirade, blunder, bad",6,"slip, bomb, good, leave, art, luck",18,"comfort, neighborhood, clock, white, sweetheart, thought, daily, mother, good, time, tomorrow, art, heavenly, top, glad, luck, calls, continue",1,Positive
